"","logFC.groupAIHcirrhosis...grouphealthy","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis...grouphealthy","logCPM","F","PValue"
"ENSG00000198356",1.17732201968725,0.836759419116888,0.340562600570365,5.5559417880337,42.5243078554678,4.19002330025628e-14
"ENSG00000039987",-0.0645560130806227,0.383835288297668,-0.448391301378291,-0.531323078395393,0.213631028955955,0.808012500693203
"ENSG00000095066",-0.0813012244392718,0.0635752679922877,-0.144876492431559,3.5501663864053,0.33682268304046,0.714839144681891
"ENSG00000171223",0.203478250259082,-0.157600701731832,0.361078951990914,8.12894797562168,5.56456735522519,0.00510860910087674
"ENSG00000167815",1.5912065325506,1.34802605603258,0.243180476518023,5.37876258360295,30.8148306899734,8.91325820411343e-11
"ENSG00000104889",-0.0289932081338837,-0.0732451224994524,0.0442519143655687,2.68161335496754,0.0607908400086658,0.941054652818209
"ENSG00000132026",0.032415496160182,0.793455564129262,-0.76104006796908,-1.02400020418535,0.721760089545872,0.488399940650735
"ENSG00000105613",-0.644245315971336,-0.506198428397144,-0.138046887574192,1.723741007145,1.12971541928742,0.327197532411649
"ENSG00000105612",0.540601461879492,0.340064728380189,0.200536733499303,4.52050924048064,5.15721521966576,0.00737870729843934
"ENSG00000105610",2.04597149947541,1.46164937577142,0.58432212370399,6.51569972919515,24.6719627292616,3.85246774305578e-09
"ENSG00000105607",-0.167676889919264,-0.160776867530952,-0.00690002238831137,4.34544226664038,0.82023643186422,0.44325615292413
"ENSG00000161860",-1.25229997557911,-1.12232298889896,-0.129976986680149,0.977445589364364,2.70254117541339,0.0719125475565313
"ENSG00000179115",0.127647591098026,0.187214384750877,-0.0595667936528511,5.26678321585287,1.40349020654335,0.250516882155541
"ENSG00000179218",0.150407501808045,-0.00789267783525197,0.158300179643297,7.72554933988352,2.31124327104297,0.104390541714654
"ENSG00000179262",1.3802738995607,1.15831769759093,0.221956201969768,7.24221048073403,24.6401527326064,3.8358458006248e-09
"ENSG00000179271",0.132539044369795,0.284491311365834,-0.151952266996039,3.55836241110571,1.47315328746935,0.234112929782939
"ENSG00000179284",1.10084572934559,0.855982527636645,0.244863201708943,-1.33846661290329,0.944874372443625,0.392157366767607
"ENSG00000008441",1.69753056695425,1.45660676085704,0.240923806097204,8.06659449076366,19.7767951529633,9.38076999380888e-08
"ENSG00000104903",1.59299270472064,1.21756878369113,0.37542392102951,8.65894282488475,25.2836310130475,2.56494669144207e-09
