AIHnosteroid.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
257,ENSG00000000938,3520.707163,0.199856695,0.123696445,1.615702827,0.106158579,0.517286293
258,ENSG00000126709,677.7396308,1.14820449,0.372279123,3.084256996,0.002040612,0.174135854
259,ENSG00000009780,81.14303115,0.001973813,0.132839906,0.014858582,0.988145003,0.996414951
260,ENSG00000117758,219.0614331,0.133503593,0.08774125,1.521560177,0.128119322,0.546610835
261,ENSG00000117751,122.8584751,-0.094217082,0.110646386,-0.85151523,0.394483207,0.751926133
262,ENSG00000130775,3131.093395,0.169562098,0.107458973,1.577924058,0.114583057,0.530239356
263,ENSG00000117748,364.5911882,0.144583677,0.104333975,1.385777525,0.165814847,0.586865395
264,ENSG00000130768,11.51810714,-0.286101025,0.39815804,-0.718561466,0.472411163,0.799246119
265,ENSG00000158156,406.5808799,0.089268453,0.147978103,0.603254478,0.546339411,0.833923232
266,ENSG00000158161,291.7770582,-0.015842848,0.082051173,-0.19308496,0.846892431,0.953851138
267,ENSG00000169403,2172.888293,0.022283442,0.140560786,0.158532421,0.874037275,0.962967372
268,ENSG00000126698,189.0896992,0.115438851,0.120537341,0.957701986,0.338213055,0.717105595
269,ENSG00000130770,120.0039025,-0.132562818,0.114408081,-1.158684047,0.246584996,0.652416839
270,ENSG00000130766,138.6487929,0.029772766,0.127374618,0.233741745,0.815185477,0.94303987
271,ENSG00000130772,92.40597979,-0.050982573,0.134207535,-0.379878617,0.704035521,0.905592409
272,ENSG00000204138,207.6007322,-0.021582827,0.107809206,-0.200194661,0.841328342,0.952010088
273,ENSG00000180198,87.29536882,-0.287457006,0.143483777,-2.0034112,0.04513317,0.405380995
274,ENSG00000180098,95.27392519,-0.008264048,0.139069225,-0.059423989,0.952614406,0.987604468
275,ENSG00000120656,134.3976371,0.020593334,0.11667201,0.17650621,0.85989627,0.957818594
276,ENSG00000188060,23.00242874,-0.233546498,0.380774611,-0.613345772,0.539647734,0.830660301
277,ENSG00000162419,176.1358414,-0.001639435,0.099157944,-0.016533571,0.98680872,0.996408644
278,ENSG00000198492,322.7963122,0.064093819,0.063848708,1.00383893,0.315456257,0.702320635
279,ENSG00000159023,11175.10343,0.396194112,0.295861645,1.339119549,0.180531757,0.600493459
280,ENSG00000253304,16.73817316,-0.407112459,0.335665073,-1.212853202,0.22518595,0.635992922
281,ENSG00000116350,802.0387722,0.062585592,0.066788679,0.937068874,0.348723131,0.724190525
282,ENSG00000116353,53.17555375,-0.188838164,0.185060297,-1.020414253,0.307532037,0.697044706
283,ENSG00000162511,7744.347056,0.170383554,0.093439562,1.823462691,0.068233343,0.464304918
284,ENSG00000162512,31.99249164,0.617835613,0.330202596,1.871080423,0.061333935,0.446506964
285,ENSG00000134644,795.5533738,-0.0457132,0.070281245,-0.650432416,0.515412944,0.820956431
286,ENSG00000060688,156.6510534,-0.013262712,0.110505576,-0.12001849,0.904468501,0.972188976
