449820,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
211,ENSG00000001460,52.58495671,-0.336725456,0.588779963,-0.571903728,0.567387198,0.999758934
212,ENSG00000001461,442.5988964,-0.301953489,0.351219863,-0.859727826,0.389939092,0.999758934
213,ENSG00000117602,580.9157127,-0.261801136,0.406352014,-0.644271781,0.519399211,0.999758934
214,ENSG00000133226,704.7947858,-0.257490958,0.282126956,-0.912677616,0.36141212,0.999758934
215,ENSG00000169504,169.3989804,0.443261182,0.471990847,0.939130885,0.347663549,0.999758934
216,ENSG00000020633,1404.471159,0.211074203,0.331277411,0.637152417,0.524025568,0.999758934
217,ENSG00000117614,235.8317451,-0.038907751,0.362010714,-0.107476794,0.914410734,0.999758934
218,ENSG00000117616,2135.532626,0.256587497,0.271701121,0.94437408,0.344978522,0.999758934
219,ENSG00000187010,113.5216593,-0.198124965,1.448522182,-0.136777308,0.89120682,0.999758934
220,ENSG00000183726,451.0905546,0.181390501,0.316057851,0.573915506,0.56602498,0.999758934
221,ENSG00000188672,34.74064151,0.69410565,0.838925404,0.827374694,0.40802472,0.999758934
222,ENSG00000204178,171.5777799,0.385976182,0.368930792,1.046202134,0.295467718,0.999758934
223,ENSG00000157978,879.6112845,-0.354885708,0.335556128,-1.057604612,0.290235739,0.999758934
224,ENSG00000117643,287.1310073,-0.510132371,0.414386016,-1.231055952,0.218301938,0.999758934
225,ENSG00000162430,167.6242985,0.228104861,0.44447174,0.513204419,0.607808335,0.999758934
226,ENSG00000117640,108.0413346,-0.307650284,0.483719097,-0.636010209,0.524769768,0.999758934
227,ENSG00000182749,51.15167669,0.088179915,0.635033605,0.13885866,0.889561839,0.999758934
228,ENSG00000117632,59.04995483,0.031158473,0.559846577,0.055655378,0.955616348,0.999758934
229,ENSG00000158006,177.7145095,0.166525761,0.40862795,0.407524159,0.683623054,0.999758934
230,ENSG00000175087,90.7568988,0.341926477,0.551286687,0.620233511,0.535104062,0.999758934
231,ENSG00000142675,12.05241865,1.121359066,1.19352934,0.939532049,0.347457646,0.999758934
232,ENSG00000130695,161.4092943,-0.114445013,0.414643929,-0.276007932,0.782541974,0.999758934
233,ENSG00000142669,1511.071565,0.464437711,0.274093932,1.694447257,0.090180326,0.999758934
234,ENSG00000158062,570.126976,-0.42437355,0.320611969,-1.323636017,0.185623957,0.999758934
235,ENSG00000169442,184.1896874,0.648222515,0.397050688,1.632593859,0.102554444,0.999758934
236,ENSG00000176092,85.67110225,0.260377539,0.50803135,0.512522582,0.60828532,0.999758934
237,ENSG00000176083,43.12546754,-0.578679235,0.805584916,-0.718334248,0.472551218,0.999758934
238,ENSG00000117682,336.7567589,-0.189028853,0.366151085,-0.516259164,0.605673413,0.999758934
239,ENSG00000198830,1023.67203,0.396380816,0.267729923,1.480524894,0.138733222,0.999758934
240,ENSG00000117676,2066.282774,-0.08513504,0.27934187,-0.304770066,0.760541281,0.999758934
241,ENSG00000117713,2081.976788,-0.169378818,0.275893698,-0.613927826,0.539263022,0.999758934
242,ENSG00000060642,137.9926693,-0.099212068,0.414059163,-0.239608436,0.810633824,0.999758934
243,ENSG00000204160,2257.638454,0.096160977,0.350511082,0.274345041,0.783819474,0.999758934
244,ENSG00000142751,227.9392391,-0.065060083,0.363622115,-0.178922239,0.85799876,0.999758934
245,ENSG00000198746,96.36900458,0.068447553,0.458549664,0.149269661,0.881340854,0.999758934
246,ENSG00000090273,240.6263957,0.070586089,0.410942021,0.17176654,0.863621071,0.999758934
247,ENSG00000175707,17.67933162,-0.225837915,1.350265977,-0.167254392,0.867169889,0.999758934
248,ENSG00000253368,8.038842848,0.699514501,1.700502194,0.4113576,0.680810339,0.999758934
249,ENSG00000090020,384.3124341,0.024766625,0.348031727,0.071161975,0.943268844,0.999758934
250,ENSG00000142784,1371.790261,-0.101293148,0.380961983,-0.265887811,0.790325613,0.999758934
251,ENSG00000186501,225.9528261,-0.286183661,0.376638196,-0.759837066,0.447351984,0.999758934
252,ENSG00000142765,813.5377198,-0.260163603,0.267931463,-0.971008035,0.331544277,0.999758934
253,ENSG00000142733,78.0511807,-0.132062495,0.490738521,-0.269109697,0.787845268,0.999758934
254,ENSG00000158195,3191.132387,0.10466167,0.362682248,0.288576765,0.772905278,0.999758934
255,ENSG00000126705,173.2829273,-0.450851122,0.419232345,-1.075420654,0.282186439,0.999758934
256,ENSG00000000938,3201.535873,0.287433309,0.289815011,0.991781995,0.321303883,0.999758934
257,ENSG00000126709,560.8418399,2.099965286,0.498160038,4.215443083,2.49E-05,0.020708064
258,ENSG00000009780,91.99696035,0.171235497,0.465268216,0.368036095,0.71284632,0.999758934
259,ENSG00000117758,208.3476953,0.197513652,0.37324982,0.5291728,0.596685584,0.999758934
260,ENSG00000117751,125.8659014,-0.031337421,0.458618419,-0.068330053,0.945522902,0.999758934
261,ENSG00000130775,2957.264549,-0.071390659,0.314966866,-0.226660854,0.820687469,0.999758934
262,ENSG00000117748,360.4893695,-0.241059112,0.309504899,-0.778853946,0.436065755,0.999758934
263,ENSG00000130768,9.910703878,0.237809147,1.469877348,0.161788429,0.871472466,0.999758934
264,ENSG00000158156,427.1317841,0.028166089,0.420410992,0.066996558,0.946584443,0.999758934
265,ENSG00000158161,323.7413901,-0.055257948,0.319261733,-0.173080398,0.862588233,0.999758934
266,ENSG00000169403,2002.889291,0.07712019,0.347471963,0.221946511,0.824355523,0.999758934
267,ENSG00000126698,231.0831422,0.420836477,0.399916834,1.052309982,0.292657353,0.999758934
268,ENSG00000130770,148.7196927,-0.147823327,0.389834462,-0.379195122,0.704542974,0.999758934
269,ENSG00000130766,131.7781235,0.581055608,0.461947002,1.257840413,0.208449477,0.999758934
270,ENSG00000130772,97.65692912,0.205783302,0.472229946,0.435769276,0.663004137,0.999758934
271,ENSG00000204138,212.8321973,-0.314593495,0.34985101,-0.899221344,0.368534774,0.999758934
272,ENSG00000180198,110.2655251,-0.023356659,0.438195703,-0.053301891,0.957491374,0.999758934
273,ENSG00000180098,99.10956521,-0.09002346,0.526424719,-0.171009181,0.864216546,0.999758934
274,ENSG00000120656,139.6842539,-0.065741092,0.398610975,-0.164925444,0.869002665,0.999758934
275,ENSG00000188060,15.96936791,-0.35138074,1.186033346,-0.296265481,0.767027345,0.999758934
276,ENSG00000162419,205.2701245,-0.076237192,0.356788544,-0.213676121,0.830799634,0.999758934
277,ENSG00000198492,336.5785882,-0.026193656,0.331205496,-0.079085813,0.936964368,0.999758934
278,ENSG00000159023,6939.663563,-0.34006709,0.874522333,-0.388860384,0.697379429,0.999758934
279,ENSG00000253304,19.19217914,1.102226848,1.106736237,0.995925507,0.319286341,0.999758934
280,ENSG00000116350,767.2299268,-0.129272198,0.276134197,-0.468149904,0.639677394,0.999758934
281,ENSG00000116353,64.19979703,-0.291056068,0.632888041,-0.459885555,0.645598369,0.999758934
282,ENSG00000060656,9.904167302,-3.378384696,3.888979711,-0.868707205,0.385007299,0.999758934
283,ENSG00000162510,6.929632381,0.62553699,1.680937432,0.372135796,0.709791746,0.999758934
284,ENSG00000162511,7199.14844,0.222989467,0.25368255,0.879009878,0.37939592,0.999758934
285,ENSG00000162512,25.24712469,1.238510741,0.760221217,1.629145194,0.103282286,0.999758934
286,ENSG00000134644,750.0774751,-0.36027796,0.302030983,-1.192851002,0.232927732,0.999758934
287,ENSG00000060688,184.4447526,0.234140433,0.418259715,0.559796758,0.575618075,0.999758934
