row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc
ENSG00000116288,165.6927405,-0.656845416,0.691501562,-0.949882765,0.342171825,0.999480687,PARK7
ENSG00000116285,3.286466551,0.338563514,3.61133316,0.093750285,0.925307524,0.999480687,ERRFI1
ENSG00000162426,2.778828587,-4.67720749,3.910868919,-1.195950973,0.231715692,0.999480687,SLC45A1
ENSG00000142599,1815.157778,0.395788842,0.435797578,0.908194221,0.363775617,0.999480687,RERE
ENSG00000074800,1536.683514,-0.811321301,0.503035782,-1.612850081,0.106777083,0.999480687,ENO1
ENSG00000131686,45.173252,-0.249422586,0.947158217,-0.263337826,0.792290207,0.999480687,CA6
ENSG00000197241,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,SLC2A7
ENSG00000142583,28.74130577,-1.042324704,1.176956863,-0.885609946,0.37582775,0.999480687,SLC2A5
ENSG00000180758,78.9607843,-0.274042427,0.766300247,-0.357617563,0.720629533,0.999480687,GPR157
ENSG00000171621,16.82970976,0.785611467,1.484889626,0.529070615,0.596756465,0.999480687,SPSB1
ENSG00000171612,22.29774205,0.721588898,1.362722874,0.529519913,0.596444834,0.999480687,SLC25A33
ENSG00000188807,30.43867442,-1.050430337,1.117570235,-0.93992333,0.347256889,0.999480687,TMEM201
ENSG00000171608,3948.475676,0.203469081,0.444387134,0.457864473,0.647049813,0.999480687,PIK3CD
ENSG00000171603,365.4077691,-0.476761537,0.512896759,-0.929546792,0.352605787,0.999480687,CLSTN1
ENSG00000178585,37.95040161,-0.304655299,1.014157747,-0.30040228,0.763870325,0.999480687,CTNNBIP1
ENSG00000162441,54.57752948,0.090970554,0.888628692,0.10237184,0.918461535,0.999480687,LZIC
ENSG00000173614,59.94580286,-0.753258107,0.917797279,-0.82072384,0.411803588,0.999480687,NMNAT1
ENSG00000162444,26.3247138,-1.116189371,1.184078603,-0.942664928,0.345852318,0.999480687,RBP7
ENSG00000130939,521.4191837,0.113194094,0.482098858,0.234794361,0.814368344,0.999480687,UBE4B
ENSG00000054523,762.3605193,0.689766872,0.464814556,1.483961427,0.137819154,0.999480687,KIF1B
ENSG00000142657,1412.683778,0.206423079,0.49759449,0.414841971,0.678257592,0.999480687,PGD
ENSG00000175279,1.314470586,2.795191024,4.888595335,0.571777951,0.567472417,0.999480687,CENPS
ENSG00000241563,1.054112566,-2.390104183,4.903154387,-0.487462559,0.62593057,0.999480687,CORT
ENSG00000160049,91.08665724,-0.287329108,0.732569308,-0.392221057,0.694894887,0.999480687,DFFA
ENSG00000142655,79.41408947,-0.862776697,0.827544746,-1.042574073,0.297145602,0.999480687,PEX14
ENSG00000130940,80.791198,-0.091093153,0.757234079,-0.120297218,0.904247708,0.999480687,CASZ1
ENSG00000175262,5.277297582,-0.785847714,2.42561718,-0.323978458,0.745954343,0.999480687,C1orf127
ENSG00000120948,143.3041021,0.055724764,0.632800128,0.088060608,0.929828505,0.999480687,TARDBP
ENSG00000009724,28.97103894,0.621929168,1.129906019,0.550425573,0.582027512,0.999480687,MASP2
ENSG00000116649,67.87774504,-0.820546565,0.813865759,-1.008208733,0.313354266,0.999480687,SRM
ENSG00000171824,110.067183,-0.617835787,0.697763747,-0.885451256,0.375913298,0.999480687,EXOSC10
ENSG00000198793,416.0051665,-0.256017006,0.496950448,-0.515176124,0.606429952,0.999480687,MTOR
ENSG00000171819,26.99762415,0.323124479,1.173922422,0.275251987,0.783122649,0.999480687,ANGPTL7
ENSG00000120942,87.58797156,-1.374063275,0.782048545,-1.757005091,0.078916941,0.999480687,UBIAD1
ENSG00000204624,5.696866176,1.591391043,2.64986965,0.600554462,0.548136776,0.999480687,DISP3
ENSG00000116661,8.553733945,2.175599032,2.007926575,1.083505273,0.278584212,0.999480687,FBXO2
ENSG00000132879,38.53181004,-0.626427222,1.012946825,-0.618420638,0.536298097,0.999480687,FBXO44
ENSG00000116663,93.34806154,-0.59962959,0.736297496,-0.814384937,0.415424465,0.999480687,FBXO6
ENSG00000116670,60.31862726,0.399338501,0.841360499,0.47463424,0.635047697,0.999480687,MAD2L2
ENSG00000162490,26.62104162,-0.213142798,1.195507821,-0.17828641,0.858498051,0.999480687,DRAXIN
ENSG00000177674,787.4398099,0.473524988,0.460330046,1.028664092,0.303637549,0.999480687,AGTRAP
ENSG00000215910,1.221427881,0.283748691,4.750257886,0.059733324,0.952368031,0.999480687,C1orf167
ENSG00000177000,237.2803324,-0.670312429,0.560415074,-1.196099927,0.231657566,0.999480687,MTHFR
ENSG00000011021,121.1927605,-0.131231093,0.661764329,-0.198304876,0.842806537,0.999480687,CLCN6
ENSG00000175206,4.006469853,-2.252353661,3.08337899,-0.730482263,0.465095451,0.999480687,NPPA
ENSG00000116685,689.626264,-0.196505938,0.472528319,-0.41586066,0.677511968,0.999480687,KIAA2013
ENSG00000083444,261.5736549,-0.526595733,0.564039691,-0.933614676,0.350502692,0.999480687,PLOD1
ENSG00000116688,1032.253046,0.21783022,0.505183417,0.431190362,0.666329961,0.999480687,MFN2
ENSG00000116691,221.1260391,-0.382032493,0.609252839,-0.627050821,0.530625922,0.999480687,MIIP
ENSG00000120949,83.04683915,-0.654757697,0.827899634,-0.790866031,0.429022173,0.999480687,TNFRSF8
ENSG00000028137,4031.327106,-0.230647394,0.463686026,-0.497421489,0.618891855,0.999480687,TNFRSF1B
ENSG00000048707,848.6452103,-0.148684554,0.453433662,-0.327908064,0.742981176,0.999480687,VPS13D
