,no.vs.healthy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
277,ENSG00000162419,176.1358414,-0.008242109,0.098659095,-0.083541298,0.933421141,0.983357279
278,ENSG00000198492,322.7963122,0.040296161,0.063224535,0.637350062,0.523896849,0.858815494
279,ENSG00000159023,11175.10343,0.367543204,0.295897206,1.24213138,0.214188092,0.705284184
280,ENSG00000253304,16.73817316,-0.396615392,0.334777124,-1.184714735,0.236130255,0.719058182
281,ENSG00000116350,802.0387722,0.04866769,0.065794407,0.73969342,0.459486041,0.831756476
282,ENSG00000116353,53.17555375,-0.166552924,0.182524706,-0.912495235,0.361508077,0.782593918
283,ENSG00000162511,7744.347056,0.153981565,0.092095082,1.671984662,0.094527347,0.591611142
284,ENSG00000162512,31.99249164,0.590545343,0.329500544,1.792243907,0.073093904,0.557586871
285,ENSG00000134644,795.5533738,-0.05099275,0.070175749,-0.726643472,0.467444391,0.833224448
286,ENSG00000060688,156.6510534,0.021623267,0.111274659,0.194323368,0.845922689,0.960169201
287,ENSG00000121766,53.54244029,0.107595916,0.163685692,0.657332447,0.510967177,0.851847473
