AIHelite.vs.AIHpartial,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
135,ENSG00000116771,34.12225291,-0.095397688,0.296522552,-0.321721528,0.747663667,0.96009674
136,ENSG00000197312,364.4072445,-0.164917841,0.105602845,-1.561679904,0.118363415,0.814137503
137,ENSG00000116786,496.1302266,-0.049102972,0.087511627,-0.561102266,0.574727824,0.926372611
138,ENSG00000162461,10.27081866,0.547997154,0.589590243,0.929454246,0.352653726,0.877647955
139,ENSG00000233954,9.495512615,-0.314704143,0.476183141,-0.66088888,0.508683578,0.908626953
140,ENSG00000065526,1766.589162,0.141416964,0.074973169,1.886234319,0.059263386,0.807632706
141,ENSG00000116809,313.9939209,0.057552526,0.114401158,0.50307643,0.614910537,0.938131028
142,ENSG00000142627,10.74695164,0.719555036,0.666042297,1.080344355,0.279988865,0.851916086
143,ENSG00000142632,31.50688193,0.132060276,0.282722301,0.467102438,0.64042659,0.941604142
144,ENSG00000132881,29.16470438,-0.377025103,0.270661732,-1.392975284,0.163627265,0.82223693
145,ENSG00000037637,330.3699371,0.015527812,0.091935181,0.168899569,0.865875638,0.976174942
146,ENSG00000055070,457.2413118,0.035324198,0.08431845,0.418937936,0.675261491,0.946902214
147,ENSG00000187144,30.91456577,0.113989414,0.258559296,0.440863722,0.659311658,0.945486602
148,ENSG00000157191,723.3563999,-0.124535295,0.091480913,-1.361325447,0.173410865,0.823398213
149,ENSG00000219481,158.7051975,-0.022110451,0.190992294,-0.115766193,0.907837844,0.984917843
150,ENSG00000058453,320.1003593,-0.035333393,0.173125057,-0.204091733,0.838281815,0.972896839
151,ENSG00000159363,261.7155473,-0.186846698,0.113600878,-1.644764555,0.100018374,0.808449263
152,ENSG00000117118,185.0871092,-0.067197065,0.108424493,-0.619759085,0.53541641,0.917669145
153,ENSG00000117115,1838.444308,0.083042092,0.280920768,0.295606809,0.767530373,0.962209567
154,ENSG00000159339,835.8619964,0.091883145,0.247815474,0.370772428,0.710807039,0.952926721
155,ENSG00000179051,479.5463853,-0.095280562,0.108592854,-0.877410974,0.380263454,0.881519226
156,ENSG00000074964,322.8213487,-0.319632243,0.189975003,-1.682496322,0.092472638,0.808449263
157,ENSG00000159423,11.67990557,0.780434162,0.453259531,1.721826256,0.085100997,0.808449263
158,ENSG00000169991,179.508239,0.0369262,0.201415123,0.183333802,0.854536114,0.975103481
159,ENSG00000127481,2295.403173,0.162951197,0.076754235,2.12302547,0.033751718,0.807632706
160,ENSG00000127463,276.85886,0.106416689,0.107303897,0.991731823,0.321328363,0.866026984
161,ENSG00000053372,55.26620109,-0.190385038,0.221670941,-0.85886331,0.390415934,0.883196957
162,ENSG00000053371,111.8597951,-0.058543661,0.165859453,-0.352971504,0.724109804,0.956174639
163,ENSG00000040487,94.60610959,-0.156783431,0.172833008,-0.907138239,0.364333699,0.877647955
164,ENSG00000077549,2015.324854,0.128149695,0.085516284,1.498541433,0.133992636,0.814137503
165,ENSG00000173436,69.97408996,-0.187819682,0.168253134,-1.116292326,0.264297026,0.849756442
166,ENSG00000158747,6.693899225,-0.70750787,0.709557861,-0.99711089,0.318710688,0.863402594
167,ENSG00000158748,15.15179615,-0.610395752,0.486487715,-1.254699209,0.209587973,0.838303557
168,ENSG00000162542,187.108883,-0.163878159,0.145830027,-1.123761424,0.26111425,0.84633717
169,ENSG00000169914,108.0668381,-0.220216063,0.18700552,-1.177591244,0.238959602,0.843995871
170,ENSG00000162543,20.74889478,0.191153942,0.397833683,0.480487073,0.630881093,0.938817418
171,ENSG00000158816,16.32332591,-0.513621057,0.475005556,-1.081294842,0.279565981,0.851916086
172,ENSG00000162545,7.56814775,0.871258777,0.517361151,1.68404368,0.092173227,0.808449263
173,ENSG00000090432,172.5755354,0.080543032,0.123038206,0.654618064,0.512713691,0.910391989
174,ENSG00000158825,511.3181104,0.259827915,0.238227495,1.0906714,0.275417499,0.851916086
175,ENSG00000158828,406.1784757,0.357286458,0.223895002,1.595776833,0.110538627,0.808449263
176,ENSG00000244038,497.3727286,-0.213831035,0.086033412,-2.485441764,0.012939076,0.772779099
177,ENSG00000127483,1104.158659,0.052263442,0.075628029,0.691059158,0.489528365,0.903976953
178,ENSG00000075151,577.35612,0.031035036,0.128081875,0.242306231,0.808542886,0.968762518
179,ENSG00000117298,2348.212898,0.246525654,0.150159004,1.641764045,0.100638913,0.808449263
180,ENSG00000142794,68.07211234,-0.418886388,0.265616369,-1.577035288,0.114787406,0.814137503
181,ENSG00000162551,1989.42822,0.650885131,0.304591852,2.136909205,0.032605377,0.807632706
182,ENSG00000076864,269.694715,0.217558908,0.63865294,0.340652793,0.733364981,0.957505198
183,ENSG00000090686,660.7893565,-0.032376104,0.075608568,-0.428206807,0.668500561,0.946007392
184,ENSG00000142798,40.81745737,0.071636606,0.376716633,0.190160453,0.8491834,0.974191558
185,ENSG00000070831,1960.947524,0.014196208,0.095314171,0.148941209,0.881600024,0.978692732
186,ENSG00000162552,124.8988045,0.060151297,0.148034318,0.406333462,0.684497602,0.948915829
187,ENSG00000184677,446.0161511,-0.049511467,0.1296631,-0.381847008,0.702574848,0.951155438
188,ENSG00000173372,21.8184442,-0.245359063,0.469602901,-0.522482001,0.601334775,0.934072634
189,ENSG00000159189,8.603650164,-0.126541284,0.652583444,-0.193908205,0.846247759,0.974191558
190,ENSG00000173369,10.74952914,-0.198515681,0.571846046,-0.347148823,0.728479516,0.957422484
191,ENSG00000133216,35.18768133,0.027632724,0.416659168,0.066319731,0.947123275,0.991051803
192,ENSG00000004487,246.6566634,0.138737012,0.125863762,1.102279239,0.270340292,0.851179205
193,ENSG00000169641,186.069614,0.119576349,0.154138168,0.775773778,0.437882569,0.896718373
194,ENSG00000125944,551.4815841,-0.19492121,0.095948081,-2.031527973,0.042201465,0.807632706
195,ENSG00000125945,65.33716361,-0.151572724,0.173179514,-0.875234719,0.381446206,0.881618708
196,ENSG00000204219,52.14688815,-0.231483089,0.337725778,-0.685417293,0.493080635,0.903976953
197,ENSG00000088280,10.21774399,-0.289660832,0.564466145,-0.513158911,0.607840166,0.937825094
198,ENSG00000007968,1001.318636,0.139224281,0.381114497,0.36530828,0.714881299,0.954534387
199,ENSG00000117318,70.80100681,-0.466429808,0.23791902,-1.96045616,0.049942497,0.807632706
200,ENSG00000142676,549.1371225,-0.183509027,0.229482571,-0.799664335,0.423905302,0.892035122
201,ENSG00000011007,217.1968936,0.0465176,0.124096871,0.374849096,0.707772699,0.952146102
202,ENSG00000057757,1059.14788,0.477434202,0.378500308,1.261383919,0.207170559,0.837996428
203,ENSG00000011009,243.7751997,0.015412176,0.09950892,0.154882355,0.876914064,0.978017239
204,ENSG00000117308,47.39070647,0.087422469,0.205981906,0.424418198,0.671260851,0.946599026
205,ENSG00000117305,159.9665771,-0.142897627,0.128909247,-1.10851339,0.267640159,0.849866627
206,ENSG00000179163,125.088993,0.179880241,0.183734951,0.979020265,0.327569967,0.868319489
207,ENSG00000188822,100.9708809,0.185544378,0.209858277,0.884141337,0.376619921,0.87903063
208,ENSG00000189266,500.8732123,-0.014985059,0.109883452,-0.136372297,0.891526973,0.981403784
209,ENSG00000188529,507.9337332,-0.250269461,0.112188764,-2.230789007,0.025695108,0.807632706
210,ENSG00000185436,40.71834747,0.051691809,0.267441036,0.193283011,0.846737331,0.974191558
